id,greenspark_id,name,url,category,brand,part_type,created_at,updated_at,price_retail,price_green5,quantity,last_parsed
981,87833,Шлейф для iPhone 11 + разъем зарядки + микрофон (фиолетовый) (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_razem_zaryadki_mikrofon_fioletovyy_100_components.html,,Apple,Шлейф,2025-12-08 19:21:16,2025-12-08 19:32:37,850.0,713.0,none,2025-12-08 19:32:37
762,87829,Шлейф для iPhone 11 + разъем зарядки + микрофон (черный) (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_razem_zaryadki_mikrofon_chernyy_100_components.html,,Apple,Шлейф,2025-12-08 19:20:32,2025-12-08 19:31:59,690.0,561.0,none,2025-12-08 19:31:59
760,273096,Шлейф для iPhone 11 + разъем зарядки + микрофон (черный) 100%,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_razem_zaryadki_mikrofon_chernyy_100.html,,Apple,Шлейф,2025-12-08 19:20:32,2025-12-08 19:31:57,1080.0,969.0,none,2025-12-08 19:31:57
759,197788,Шлейф для iPhone 11 + светочувствительный элемент + микрофон + динамик (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_svetochuvstvitelnyy_element_mikrofon_dinamik_100_components.html,,Apple,Шлейф,2025-12-08 19:20:32,2025-12-08 19:30:13,750.0,618.0,none,2025-12-08 19:30:13
844,243485,Шлейф для iPhone 11 Pro + кнопка включения + микрофон (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_knopka_vklyucheniya_mikrofon_100_components.html,,Apple,Шлейф,2025-12-08 19:20:48,2025-12-08 19:32:11,550.0,466.0,none,2025-12-08 19:32:11
838,243487,Шлейф для iPhone 11 Pro + кнопка громкости (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_knopka_gromkosti_100_components.html,,Apple,Шлейф,2025-12-08 19:20:46,2025-12-08 19:32:11,320.0,258.0,few,2025-12-08 19:32:11
996,131217,Шлейф для iPhone 11 Pro + разъем зарядки + микрофон (черный) (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_razem_zaryadki_mikrofon_chernyy_100_components.html,,Apple,Шлейф,2025-12-08 19:21:18,2025-12-08 19:32:41,450.0,428.0,none,2025-12-08 19:32:41
814,273120,Шлейф для iPhone 11 Pro + разъем зарядки + микрофон (черный) 100%,/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_razem_zaryadki_mikrofon_chernyy_100.html,,Apple,Шлейф,2025-12-08 19:20:42,2025-12-08 19:32:07,2650.0,2328.0,none,2025-12-08 19:32:07
765,243486,Шлейф для iPhone 11 Pro + светочувствительный элемент + микрофон + динамик (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_svetochuvstvitelnyy_element_mikrofon_dinamik_100_components.html,,Apple,Шлейф,2025-12-08 19:20:32,2025-12-08 19:31:59,870.0,766.0,none,2025-12-08 19:31:59
854,243488,Шлейф для iPhone 11 Pro Max + кнопка включения + микрофон + вспышка (100% components),/catalog/komplektuyushchie_dlya_remonta/zapchasti_dlya_apple/shleyfy/shleyf_dlya_iphone_11_pro_max_knopka_vklyucheniya_mikrofon_vspyshka_100_components_1.html,,Apple,Шлейф,2025-12-08 19:20:50,2025-12-08 19:32:13,530.0,477.0,none,2025-12-08 19:32:13
